date_of_sale,address,postal_code,county,price,vat_exclusive,description_of_property,property_size_description,is_big,log_price,is_full_market_price,year,month,quarter
15/09/2015,"31 BEACON COURT, DUNDALK",NA,Louth,900,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,2.9542425094393248,Yes,15,9,3
15/04/2015,"259 Beechwood Court, Stillorgan Road",NA,Dublin,2683.29,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.4286676121403143,Yes,15,4,2
18/12/2015,"12 FOREST PARK AVE, BORRIS RD, PORTLAOIS",NA,Laois,1530,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.184691430817599,Yes,18,12,4
20/04/2018,"43 GLENSIDE, BALLYCARNANE WOODS, TRAMORE",NA,Waterford,2300,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.361727836017593,Yes,20,4,2
29/01/2010,"Beaghmore, Carrigallen",NA,Leitrim,1200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0791812460476247,Yes,29,1,1
21/01/2014,"109 Venetian Hall, Howth Road, Killester",Dublin 5,Dublin,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,21,1,1
28/09/2012,"4  High Street, Skibbereen",NA,Cork,350,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.5440680443502757,Yes,28,9,3
01/11/2012,"9 BALLYOWEN AVENUE, LUCAN",NA,Dublin,2350,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3710678622717363,Yes,1,11,4
13/09/2017,"BALLYMOGUE, KILBRIDE, CARLOW",NA,Carlow,2900,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.462397997898956,Yes,13,9,3
02/04/2014,"56 ST PATRICKS AVENUE, TIPPERARY TOWN, TIPPERARY",NA,Tipperary,370,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.568201724066995,Yes,2,4,2
20/02/2018,"23 Greenbank House, Cualanor, Upper Glenageary Road",NA,Dublin,2731.26,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.436363044405799,Yes,20,2,1
08/08/2013,"42 Cedar Place, Ridgewood, Swords",NA,Dublin,1750,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2430380486862944,Yes,8,8,3
16/12/2015,"MOUNTDELVIN, CLOONSAD, BALLYHAUNIS",NA,Roscommon,200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.3010299956639813,Yes,16,12,4
12/02/2018,"8 CLUAIN AINE, COOLANEY, SLIGO",NA,Sligo,850,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.929418925714293,Yes,12,2,1
12/02/2016,"31 GLEANN BHREANDAIN, ST BRENDANS RD LISDOONVARNA, CLARE",NA,Clare,900,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.9542425094393248,Yes,12,2,1
18/09/2015,"11 SWANWARD COURT, PARNELL RD, DUBLIN 12",Dublin 12,Dublin,2830,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.45178643552429,Yes,18,9,3
04/03/2015,"48 MORELL DR, NAAS, KILDARE",NA,Kildare,2580,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.41161970596323,Yes,4,3,1
13/08/2018,"15 The Riverside, Ryebridge, Kilcock",NA,Kildare,2775.33,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,3.443314630218386,Yes,13,8,3
16/12/2014,"22B SANDYVALE LAWN, HEADFORD ROAD, CO. GALWAY.",NA,Galway,850,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.929418925714293,Yes,16,12,4
26/06/2015,"LATTON, CASTLEBLAYNEY, MONAGHAN",NA,Monaghan,1200,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0791812460476247,Yes,26,6,2
16/05/2018,"CASTLETOWN, KILMALLOCK, CO LIMERICK",NA,Limerick,1450,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.161368002234975,Yes,16,5,2
20/07/2018,"COOLCARROW, FOSTERS CROSS, CARRIGALINE",NA,Cork,3000,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.4771212547196626,Yes,20,7,3
21/12/2015,"16 THE ELMS, LYNN ROAD, MULLINGAR",NA,Westmeath,446.3636,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6496887715843362,Yes,21,12,4
21/04/2011,"2  MUSKERRY HEIGHTS, TOWER, BLARNEY",NA,Cork,1950,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.290034611362518,Yes,21,4,2
11/10/2013,"65 carrigmore Lawn, City West, County Dublin",NA,Dublin,1500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.1760912590556813,Yes,11,10,4
01/03/2017,"76 THE GROVE, INSE BAY, LAYTOWN",NA,Meath,1860,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.269512944217916,Yes,1,3,1
24/11/2016,"19 ROSSE COURT GROVE LUCAN, DUBLIN",NA,Dublin,1415,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.150756439860309,Yes,24,11,4
30/01/2015,"4 Dun Cuillin, Cutbush, Curragh",NA,Kildare,3600,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.5563025007672873,Yes,30,1,1
14/03/2012,"10 Summer Haven, Summerhill, Carrick-on-Shannon",NA,Leitrim,672.6872,Yes,New Dwelling house /Apartment,ge_38_lt_125_square_meters,Not Big,2.827813163936323,Yes,14,3,1
14/09/2015,"25 HILLVIEW, CREGGAUN NA HILLA, CLARECASTLE",NA,Clare,1065,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.0273496077747564,Yes,14,9,3
27/04/2017,"76 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,5125,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.7096938697277917,Yes,27,4,2
13/09/2018,"LACHNEILL/ LAGHTNEILL, CROOKSTOWN, CO CORK",NA,Cork,1810,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.2576785748691846,Yes,13,9,3
23/12/2015,"15 CRUAGH COURT, CRUAGH MANOR, STEPASIDE DUBLIN 18",Dublin 18,Dublin,2500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,3.3979400086720375,Yes,23,12,4
07/06/2016,"49 Lavey Manor, Charlestown",NA,Mayo,800,Yes,New Dwelling house /Apartment,ge_125_square_meters,Not Big,2.9030899869919438,Yes,7,6,2
20/06/2017,"42 CLUAIN BARRON, BALLYSHANNON, DONEGAL",NA,Donegal,500,No,Second-Hand Dwelling house /Apartment,(Missing),Not Big,2.6989700043360187,Yes,20,6,2
